"alphabet","nt_color","aa_color"
".","black","magenta"
"?","black","magenta"
"x","black","magenta"
"r","magenta","blue"
"k","magenta","blue"
"h","magenta","blue"
"d","magenta","red"
"e","magenta","red"
"n","magenta","black"
"q","magenta","black"
"m","magenta","black"
"f","magenta","black"
"w","magenta","black"
"y","magenta","black"
"c","darkblue","black"
"a","darkred","black"
"g","#FFCC33","black"
"s","magenta","black"
"t","green","black"
"i","magenta","black"
"l","magenta","black"
"o","cyan","cyan"
"v","magenta","black"
"p","magenta","black"
"z","red","magenta"
"#","red","magenta"
"$","red","magenta"
"-","grey","grey40"
